# text = increase and decrease in volume or pitch, as if in waves; 
# id = 00581355-v-1
# type = def
1	increase	wf	VB	increase%1|increase%2	increase%2:30:02::	man	0:8
15	purchase	wf	NN	purchase%1|purchase%2	purchase%1:04:00::	man	76:84
16	of	wf	IN	of	_	ignore	85:87
17	Alaska	wf	NNP	Alaska%1	alaska%1:15:00::	auto	88:94
18	from	wf	IN	from	_	ignore	95:99
19	Russia	wf	NNP	Russia%1	russia%1:15:02::	man	100:106
20	(	wf	punc	_	_	ignore	107:108
21	_	glob|a	_	known_as%3	_	un	_
22	known	cf|a	VBN	know%2|known%3	_	un	108:113
23	at	wf	IN	at	_	ignore	114:116
24	the	wf	DT	the	_	ignore	117:120
25	time	wf	NN	time%1|time%2	_	un	121:125
26	as	cf|a	IN	as	_	ignore	126:128
27	_	glob|c	_	Seward's_Folly%1	seward's_folly%1:04:00::	man	_
28	Seward's	cf|c	NNP	Seward%1	_	un	129:137
29	Folly	cf|c	NNP	Folly	_	un	138:143
30	)	wf	punc	_	_	ignore	143:144
31	_	aux	_	_	_	ignore	_
32	(	wf	punc	_	_	ignore	145:146
33	_	mwf	_	_	_	_	_
34	1801	wf	CD	1801	_	ignore	146:150
35	1872	wf	CD	1872	_	ignore	151:155
36	_	mwf	_	_	_	_	_
37	)	wf	punc	_	_	ignore	155:156
38	_	aux	_	_	_	_	_

# text = United States poet (1928-1974)
# id = 11294582-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	poet	wf	NN	poet%1	poet%1:18:00::	auto	14:18
5	_	aux	_	_	_	ignore	_
6	(	wf	punc	_	_	ignore	19:20
7	_	mwf	_	_	_	_	_
8	1928	wf	CD	1928	_	ignore	20:24
9	1974	wf	CD	1974	_	ignore	25:29
10	_	mwf	_	_	_	_	_
11	)	wf	punc	_	_	ignore	29:30
12	_	aux	_	_	_	_	_

# text = United States clarinetist and leader of a swing band (1910-2004)
# id = 11296429-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	clarinetist	wf	NN	clarinetist%1	clarinetist%1:18:00::	auto	14:25
5	and	wf	CC	and	_	ignore	26:29
6	leader	wf	NN	leader%1	leader%1:18:00::	man	30:36
7	of	wf	IN	of	_	ignore	37:39
8	a	wf	DT	a	_	ignore	40:41
9	swing	wf	NN	swing%1|swing%2	swing%1:10:01::	man	42:47
10	band	wf	NN	band%1|band%2	band%1:14:02::	man	48:52
11	_	aux	_	_	_	ignore	_
12	(	wf	punc	_	_	ignore	53:54
13	_	mwf	_	_	_	_	_
14	1910	wf	CD	1910	_	ignore	54:58
15	2004	wf	CD	2004	_	ignore	59:63
16	_	mwf	_	_	_	_	_
17	)	wf	punc	_	_	ignore	63:64
18	_	aux	_	_	_	_	_

# text = Scottish ballet dancer and actress (born in 1926)
# id = 11296775-n-1
# type = def
1	Scottish	wf	JJ	Scottish%1|Scottish%3	scottish%3:01:00::	man	0:8
2	_	glob|a	_	ballet_dancer%1	ballet_dancer%1:18:00::	auto	_
3	ballet	cf|a	NN	ballet%1	_	un	9:15
4	dancer	cf|a	NN	dancer%1	_	un	16:22
5	and	wf	CC	and	_	ignore	23:26
6	actress	wf	NN	actress%1	actress%1:18:00::	auto	27:34
7	_	aux	_	_	_	ignore	_
8	(	wf	punc	_	_	ignore	35:36
9	_	mwf	_	_	_	_	_
10	born	wf	VBN	bear%2|born%3	_	un	36:40
11	in	wf	IN	in	_	ignore	41:43
12	1926	wf	CD	1926	_	ignore	44:48
13	_	mwf	_	_	_	_	_
14	)	wf	punc	_	_	ignore	48:49
15	_	aux	_	_	_	_	_

# text = British playwright (born in Ireland); founder of the Fabian Society (1856-1950)
# id = 11295936-n-1
# type = def
1	British	wf	NNP	British%1|British%3	british%3:01:00::	man	0:7
2	playwright	wf	NN	playwright%1	playwright%1:18:00::	auto	8:18
3	(	wf	punc	_	_	ignore	19:20
4	born	wf	VBN	bear%2|born%3	bear%2:29:01::	man	20:24
5	in	wf	IN	in	_	ignore	25:27
6	Ireland	wf	NNP	Ireland%1	ireland%1:15:00::	man	28:35
7	)	wf	punc	_	_	ignore	35:36
8	;	wf	punc	_	_	ignore	36:37
9	founder	wf	NN	founder%1|founder%2	founder%1:18:00::	man	38:45
10	of	wf	IN	of	_	ignore	46:48
11	the	wf	DT	the	_	ignore	49:52
12	_	glob|a	_	Fabian_Society%1	fabian_society%1:14:00::	auto	_
13	Fabian	cf|a	NNP	Fabian%1|Fabian%3	_	un	53:59
14	Society	cf|a	NNP	Society	_	un	60:67
15	_	aux	_	_	_	ignore	_
16	(	wf	punc	_	_	ignore	68:69
17	_	mwf	_	_	_	_	_
18	1856	wf	CD	1856	_	ignore	69:73
19	1950	wf	CD	1950	_	ignore	74:78
20	_	mwf	_	_	_	_	_
21	)	wf	punc	_	_	ignore	78:79
22	_	aux	_	_	_	_	_

# text = United States electrical engineer who pioneered mathematical communication theory (1916-2001)
# id = 11295619-n-1
# type = def
1	_	glob|c	_	United_States%1	_	un	_
2	United	cf|c	NNP	United	_	un	0:6
3	States	cf|c	NNP	State%1	_	un	7:13
4	_	glob|b	_	electrical_engineer%1	electrical_engineer%1:18:00::	auto	_
5	electrical	cf|b	JJ	electrical%3	_	un	14:24
6	engineer	cf|b	NN	engineer%1|engineer%2	_	un	25:33
7	who	wf	WP	who	_	ignore	34:37
8	pioneered	wf	VB	pioneer%2	pioneer%2:36:00::	man	38:47
9	mathematical	wf	JJ	mathematical%3	mathematical%3:01:00::	man	48:60
10	_	glob|a	_	communication_theory%1	communication_theory%1:09:00::	auto	_
11	communication	cf|a	NN	communication%1	_	un	61:74
12	theory	cf|a	NN	theory%1	_	un	75:81
13	_	aux	_	_	_	ignore	_
14	(	wf	punc	_	_	ignore	82:83
15	_	mwf	_	_	_	_	_
16	1916	wf	CD	1916	_	ignore	83:87
17	2001	wf	CD	2001	_	ignore	88:92
18	_	mwf	_	_	_	_	_
19	)	wf	punc	_	_	ignore	92:93
20	_	aux	_	_	_	_	_

# text = United States author of surrealistic allegorical plays (born in 1943)
# id = 11297457-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	author	wf	NN	author%1|author%2	author%1:18:00::	man	14:20
5	of	wf	IN	of	_	ignore	21:23
6	surrealistic	wf	JJ	surrealistic%3	surrealistic%5:00:00:unrealistic:00	auto	24:36
7	allegorical	wf	JJ	allegorical%3	allegorical%5:00:00:representative:00	auto	37:48
8	plays	wf	NNS	play%1|play%2	_	un	49:54
9	_	aux	_	_	_	ignore	_
10	(	wf	punc	_	_	ignore	55:56
11	_	mwf	_	_	_	_	_
12	born	wf	VBN	bear%2|born%3	_	un	56:60
13	in	wf	IN	in	_	ignore	61:63
14	1943	wf	CD	1943	_	ignore	64:68
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	68:69
17	_	aux	_	_	_	_	_

# text = Irish playwright remembered for his satirical comedies of manners (1751-1816)
# id = 11297595-n-1
# type = def
1	Irish	wf	JJ	Irish%1|Irish%3	irish%3:01:00::	man	0:5
2	playwright	wf	NN	playwright%1	playwright%1:18:00::	auto	6:16
3	remembered	wf	VBN	remember%2	_	un	17:27
4	for	wf	IN	for	_	ignore	28:31
5	his	wf	PRP$	his	_	ignore	32:35
6	satirical	wf	JJ	satirical%3	satirical%5:00:00:sarcastic:00	auto	36:45
7	comedies	wf	NNS	comedy%1	comedy%1:10:00::	man	46:54
8	of	wf	IN	of	_	ignore	55:57
9	manners	wf	NNS	manner%1|manners%1	manners%1:07:00::	man	58:65
10	_	aux	_	_	_	ignore	_
11	(	wf	punc	_	_	ignore	66:67
12	_	mwf	_	_	_	_	_
13	1751	wf	CD	1751	_	ignore	67:71
14	1816	wf	CD	1816	_	ignore	72:76
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	76:77
17	_	aux	_	_	_	_	_

# text = United States dancer and choreographer who collaborated with Ruth Saint Denis (1891-1972)
# id = 11296602-n-1
# type = def
1	_	glob|b	_	United_States%1	_	un	_
2	United	cf|b	NNP	United	_	un	0:6
3	States	cf|b	NNP	State%1	_	un	7:13
4	dancer	wf	NN	dancer%1	dancer%1:18:00::	man	14:20
5	and	wf	CC	and	_	ignore	21:24
6	choreographer	wf	NN	choreographer%1	choreographer%1:18:00::	auto	25:38
7	who	wf	WP	who	_	ignore	39:42
8	collaborated	wf	VB	collaborate%2	collaborate%2:41:00::	man	43:55
9	with	wf	IN	with	_	ignore	56:60
10	_	glob|a	_	Ruth_Saint_Denis%1	ruth_saint_denis%1:18:00::	man	_
11	Ruth	cf|a	NNP	Ruth%1	_	un	61:65
12	Saint	cf|a	NNP	Saint	_	un	66:71
13	Denis	cf|a	NNP	Denis	_	un	72:77
14	_	aux	_	_	_	ignore	_
15	(	wf	punc	_	_	ignore	78:79
16	_	mwf	_	_	_	_	_
17	1891	wf	CD	1891	_	ignore	79:83
18	1972	wf	CD	1972	_	ignore	84:88
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	88:89
21	_	aux	_	_	_	_	_

# text = United States playwright (1896-1955)
# id = 11298403-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	playwright	wf	NN	playwright%1	playwright%1:18:00::	auto	14:24
5	_	aux	_	_	_	ignore	_
6	(	wf	punc	_	_	ignore	25:26
7	_	mwf	_	_	_	_	_
8	1896	wf	CD	1896	_	ignore	26:30
9	1955	wf	CD	1955	_	ignore	31:35
10	_	mwf	_	_	_	_	_
11	)	wf	punc	_	_	ignore	35:36
12	_	aux	_	_	_	_	_

# text = Ukranian poet (1814-1861)
# id = 11298519-n-1
# type = def
1	Ukranian	wf	NNP	Ukranian%1	ukranian%1:18:00::	auto	0:8
2	poet	wf	NN	poet%1	poet%1:18:00::	auto	9:13
3	_	aux	_	_	_	ignore	_
4	(	wf	punc	_	_	ignore	14:15
5	_	mwf	_	_	_	_	_
6	1814	wf	CD	1814	_	ignore	15:19
7	1861	wf	CD	1861	_	ignore	20:24
8	_	mwf	_	_	_	_	_
9	)	wf	punc	_	_	ignore	24:25
10	_	aux	_	_	_	_	_

# text = astronaut who made the first United States' suborbital rocket-powered flight in 1961 (1923-1998)
# id = 11297263-n-1
# type = def
1	astronaut	wf	NN	astronaut%1	astronaut%1:18:00::	auto	0:9
2	who	wf	WP	who	_	ignore	10:13
3	made	wf	VBN	make%2|made%3	make%2:36:12::	man	14:18
4	the	wf	DT	the	_	ignore	19:22
5	first	wf	JJ	first%1|first%3|first%4	_	un	23:28
6	United	wf	NNP	United	_	un	29:35
7	States'	wf	NNP	State%1	state%1:14:02::	auto	36:43
8	suborbital	wf	JJ	suborbital%3	suborbital%3:01:00::	man	44:54
9	rocket	wf	NN	rocket%1|rocket%2	rocket%1:06:01::	man	55:61
10	powered	wf	VBN	power%2|powered%3	_	un	62:69
11	flight	wf	NN	flight%1|flight%2	_	un	70:76
12	in	wf	IN	in	_	ignore	77:79
13	1961	wf	CD	1961	_	ignore	80:84
14	_	aux	_	_	_	ignore	_
15	(	wf	punc	_	_	ignore	85:86
16	_	mwf	_	_	_	_	_
17	1923	wf	CD	1923	_	ignore	86:90
18	1998	wf	CD	1998	_	ignore	91:95
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	95:96
21	_	aux	_	_	_	_	_

# text = English writer who created Frankenstein's monster and married Percy Bysshe Shelley (1797-1851)
# id = 11297032-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	writer	wf	NN	writer%1	writer%1:18:00::	man	8:14
3	who	wf	WP	who	_	ignore	15:18
4	created	wf	VBN	create%2	create%2:36:02::	man	19:26
5	_	glob|b	_	Frankenstein's_monster%1	frankenstein's_monster%1:18:00::	auto	_
6	Frankenstein's	cf|b	NNP	Frankenstein%1	_	un	27:41
7	monster	cf|b	NN	monster%1	_	un	42:49
8	and	wf	CC	and	_	ignore	50:53
9	married	wf	VBN	married%1|marry%2|married%3	marry%2:41:00::	man	54:61
10	_	glob|a	_	Percy_Bysshe_Shelley%1	percy_bysshe_shelley%1:18:00::	auto	_
11	Percy	cf|a	NNP	Percy%1	_	un	62:67
12	Bysshe	cf|a	NNP	Bysshe	_	un	68:74
13	Shelley	cf|a	NNP	Shelley%1	_	un	75:82
14	_	aux	_	_	_	ignore	_
15	(	wf	punc	_	_	ignore	83:84
16	_	mwf	_	_	_	_	_
17	1797	wf	CD	1797	_	ignore	84:88
18	1851	wf	CD	1851	_	ignore	89:93
19	_	mwf	_	_	_	_	_
20	)	wf	punc	_	_	ignore	93:94
21	_	aux	_	_	_	_	_

# text = Finnish composer (1865-1957)
# id = 11299367-n-1
# type = def
1	Finnish	wf	NNP	Finnish%1|Finnish%3	finnish%3:01:00::	man	0:7
2	composer	wf	NN	composer%1	composer%1:18:00::	auto	8:16
3	_	aux	_	_	_	ignore	_
4	(	wf	punc	_	_	ignore	17:18
5	_	mwf	_	_	_	_	_
6	1865	wf	CD	1865	_	ignore	18:22
7	1957	wf	CD	1957	_	ignore	23:27
8	_	mwf	_	_	_	_	_
9	)	wf	punc	_	_	ignore	27:28
10	_	aux	_	_	_	_	_

# text = English physiologist who conducted research on reflex action (1857-1952)
# id = 11298240-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	physiologist	wf	NN	physiologist%1	physiologist%1:18:00::	auto	8:20
3	who	wf	WP	who	_	ignore	21:24
4	conducted	wf	VBN	conduct%2	_	un	25:34
5	research	wf	NN	research%1|research%2	research%1:04:00::	man	35:43
6	on	wf	IN	on	_	ignore	44:46
7	reflex	wf	JJ	reflex%1|reflex%3	reflex%5:00:00:involuntary:02	man	47:53
8	action	wf	NN	action%1|action%2	action%1:22:00::	man	54:60
9	_	aux	_	_	_	ignore	_
10	(	wf	punc	_	_	ignore	61:62
11	_	mwf	_	_	_	_	_
12	1857	wf	CD	1857	_	ignore	62:66
13	1952	wf	CD	1952	_	ignore	67:71
14	_	mwf	_	_	_	_	_
15	)	wf	punc	_	_	ignore	71:72
16	_	aux	_	_	_	_	_

# text = United States broadcast journalist who was in Berlin at the outbreak of World War II (1904-1993)
# id = 11298634-n-1
# type = def
1	_	glob|c	_	United_States%1	_	un	_
2	United	cf|c	NNP	United	_	un	0:6
3	States	cf|c	NNP	State%1	_	un	7:13
4	_	glob|b	_	broadcast_journalist%1	broadcast_journalist%1:18:00::	auto	_
5	broadcast	cf|b	VBD	broadcast%1|broadcast%2	_	un	14:23
6	journalist	cf|b	NN	journalist%1	_	un	24:34
7	who	wf	WP	who	_	ignore	35:38
8	was	wf	VBD	be%2	_	un	39:42
9	in	wf	IN	in	_	ignore	43:45
10	Berlin	wf	NNP	Berlin%1	berlin%1:15:00::	man	46:52
11	at	wf	IN	at	_	ignore	53:55
12	the	wf	DT	the	_	ignore	56:59
13	outbreak	wf	NN	outbreak%1	outbreak%1:11:00::	auto	60:68
14	of	wf	IN	of	_	ignore	69:71
15	_	glob|a	_	World_War_II%1	world_war_ii%1:04:00::	auto	_
16	World	cf|a	NNP	World	_	un	72:77
17	War	cf|a	NNP	War	_	un	78:81
18	II	cf|a	NNP	II%1	_	un	82:84
19	_	aux	_	_	_	ignore	_
20	(	wf	punc	_	_	ignore	85:86
21	_	mwf	_	_	_	_	_
22	1904	wf	CD	1904	_	ignore	86:90
23	1993	wf	CD	1993	_	ignore	91:95
24	_	mwf	_	_	_	_	_
25	)	wf	punc	_	_	ignore	95:96
26	_	aux	_	_	_	_	_

# text = Russian composer best known for his fifteen symphonies (1906-1975)
# id = 11299030-n-1
# type = def
1	Russian	wf	JJ	Russian%1|Russian%3	russian%3:01:00::	man	0:7
2	composer	wf	NN	composer%1	composer%1:18:00::	auto	8:16
3	_	glob|a	_	best-known%3	best-known%5:00:00:known:00	man	_
4	best	cf|a	RBS	best%1|best%2|best%3|good%3|well%3|best%4|well%4	_	un	17:21
5	known	cf|a	VBN	know%2|known%3	_	un	22:27
6	for	wf	IN	for	_	ignore	28:31
7	his	wf	PRP$	his	_	ignore	32:35
8	fifteen	wf	CD	fifteen	_	ignore	36:43
9	symphonies	wf	NN	symphony%1	symphony%1:10:00::	man	44:54
10	_	aux	_	_	_	ignore	_
11	(	wf	punc	_	_	ignore	55:56
12	_	mwf	_	_	_	_	_
13	1906	wf	CD	1906	_	ignore	56:60
14	1975	wf	CD	1975	_	ignore	61:65
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	65:66
17	_	aux	_	_	_	_	_

# text = English poet (1554-1586)
# id = 11299672-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	poet	wf	NN	poet%1	poet%1:18:00::	auto	8:12
3	_	aux	_	_	_	ignore	_
4	(	wf	punc	_	_	ignore	13:14
5	_	mwf	_	_	_	_	_
6	1554	wf	CD	1554	_	ignore	14:18
7	1586	wf	CD	1586	_	ignore	19:23
8	_	mwf	_	_	_	_	_
9	)	wf	punc	_	_	ignore	23:24
10	_	aux	_	_	_	_	_

# text = American Revolutionary leader and signer of the Declaration of Independence and the Articles of Confederation and the United States Constitution (1721-1793)
# id = 11297756-n-1
# type = def
1	_	glob|a	_	American_Revolutionary_leader%1	american_revolutionary_leader%1:18:00::	auto	_
2	American	cf|a	NNP	American%1|American%3	_	un	0:8
3	Revolutionary	cf|a	NNP	Revolutionary	_	un	9:22
4	leader	cf|a	NN	leader%1	_	un	23:29
5	and	wf	CC	and	_	ignore	30:33
6	signer	wf	NN	signer%1	signer%1:18:00::	man	34:40
7	of	wf	IN	of	_	ignore	41:43
8	the	wf	DT	the	_	ignore	44:47
9	_	glob|b	_	Declaration_of_Independence%1	declaration_of_independence%1:10:00::	auto	_
10	Declaration	cf|b	NNP	Declaration	_	un	48:59
11	of	cf|b	IN	of	_	ignore	60:62
12	Independence	cf|b	NNP	Independence%1	_	un	63:75
13	and	wf	CC	and	_	ignore	76:79
14	the	wf	DT	the	_	ignore	80:83
15	_	glob|d	_	Articles_of_Confederation%1	articles_of_confederation%1:10:00::	auto	_
16	Articles	cf|d	NNP	Articles|Article	_	un	84:92
17	of	cf|d	IN	of	_	ignore	93:95
18	Confederation	cf|d	NNP	Confederation	_	un	96:109
19	and	wf	CC	and	_	ignore	110:113
20	the	wf	DT	the	_	ignore	114:117
21	_	glob|c	_	United_States_Constitution%1	united_states_constitution%1:10:00::	auto	_
22	United	cf|c	NNP	United	_	un	118:124
23	States	cf|c	NNP	State%1	_	un	125:131
24	Constitution	cf|c	NNP	Constitution%1	_	un	132:144
25	_	aux	_	_	_	ignore	_
26	(	wf	punc	_	_	ignore	145:146
27	_	mwf	_	_	_	_	_
28	1721	wf	CD	1721	_	ignore	146:150
29	1793	wf	CD	1793	_	ignore	151:155
30	_	mwf	_	_	_	_	_
31	)	wf	punc	_	_	ignore	155:156
32	_	aux	_	_	_	_	_

# text = English writer who settled in Norway after World War II (1899-1960)
# id = 11299212-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	writer	wf	NN	writer%1	writer%1:18:00::	man	8:14
3	who	wf	WP	who	_	ignore	15:18
4	settled	wf	VBN	settle%2|settled%3	_	un	19:26
5	in	wf	IN	in	_	ignore	27:29
6	Norway	wf	NNP	Norway%1	norway%1:15:00::	auto	30:36
7	after	wf	IN	after%3|after%4	_	un	37:42
8	_	glob|a	_	World_War_II%1	world_war_ii%1:04:00::	auto	_
9	World	cf|a	NNP	World	_	un	43:48
10	War	cf|a	NNP	War	_	un	49:52
11	II	cf|a	NNP	II%1	_	un	53:55
12	_	aux	_	_	_	ignore	_
13	(	wf	punc	_	_	ignore	56:57
14	_	mwf	_	_	_	_	_
15	1899	wf	CD	1899	_	ignore	57:61
16	1960	wf	CD	1960	_	ignore	62:66
17	_	mwf	_	_	_	_	_
18	)	wf	punc	_	_	ignore	66:67
19	_	aux	_	_	_	_	_

# text = English actress noted for her performances in Shakespearean roles (1755-1831)
# id = 11299501-n-1
# type = def
1	English	wf	JJ	English%1|English%3	english%3:01:00::	man	0:7
2	actress	wf	NN	actress%1	actress%1:18:00::	auto	8:15
3	noted	wf	VBN	note%2|noted%3	note%2:32:00::	man	16:21
4	for	wf	IN	for	_	ignore	22:25
5	her	wf	PRP$	her	_	ignore	26:29
6	performances	wf	NNS	performance%1	performance%1:04:03::	man	30:42
7	in	wf	IN	in	_	ignore	43:45
8	Shakespearean	wf	JJ	Shakespearean%1|Shakespearean%3	shakespearean%3:01:00::	man	46:59
9	roles	wf	NNS	role%1	role%1:09:00::	man	60:65
10	_	aux	_	_	_	ignore	_
11	(	wf	punc	_	_	ignore	66:67
12	_	mwf	_	_	_	_	_
13	1755	wf	CD	1755	_	ignore	67:71
14	1831	wf	CD	1831	_	ignore	72:76
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	76:77
17	_	aux	_	_	_	_	_

# text = German electrical engineer (1816-1892)
# id = 11299770-n-1
# type = def
1	German	wf	JJ	German%1|German%3	german%3:01:00::	man	0:6
2	_	glob|a	_	electrical_engineer%1	electrical_engineer%1:18:00::	auto	_
3	electrical	cf|a	JJ	electrical%3	_	un	7:17
4	engineer	cf|a	NN	engineer%1|engineer%2	_	un	18:26
5	_	aux	_	_	_	ignore	_
6	(	wf	punc	_	_	ignore	27:28
7	_	mwf	_	_	_	_	_
8	1816	wf	CD	1816	_	ignore	28:32
9	1892	wf	CD	1892	_	ignore	33:37
10	_	mwf	_	_	_	_	_
11	)	wf	punc	_	_	ignore	37:38
12	_	aux	_	_	_	_	_

# text = United States physicist (born in England) who contributed to the development of the electronic transistor (1910-1989)
# id = 11298810-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	physicist	wf	NN	physicist%1	physicist%1:18:00::	auto	14:23
5	(	wf	punc	_	_	ignore	24:25
6	born	wf	VBN	bear%2|born%3	bear%2:29:01::	man	25:29
7	in	wf	IN	in	_	ignore	30:32
8	England	wf	NNP	England%1	england%1:15:00::	auto	33:40
9	)	wf	punc	_	_	ignore	40:41
10	who	wf	WP	who	_	ignore	42:45
11	contributed	wf	VBN	contribute%2	contribute%2:40:00::	man	46:57
12	to	wf	TO	to	_	ignore	58:60
13	the	wf	DT	the	_	ignore	61:64
14	development	wf	NN	development%1	_	un	65:76
15	of	wf	IN	of	_	ignore	77:79
16	the	wf	DT	the	_	ignore	80:83
17	_	glob|b	_	electronic_transistor%1	electronic_transistor%1:06:00::	auto	_
18	electronic	cf|b	JJ	electronic%3	_	un	84:94
19	transistor	cf|b	NN	transistor%1	_	un	95:105
20	_	aux	_	_	_	ignore	_
21	(	wf	punc	_	_	ignore	106:107
22	_	mwf	_	_	_	_	_
23	1910	wf	CD	1910	_	ignore	107:111
24	1989	wf	CD	1989	_	ignore	112:116
25	_	mwf	_	_	_	_	_
26	)	wf	punc	_	_	ignore	116:117
27	_	aux	_	_	_	_	_

# text = United States operatic soprano (born in 1929)
# id = 11300326-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	operatic	wf	JJ	operatic%3	operatic%3:01:00::	auto	14:22
5	soprano	wf	NN	soprano%1|soprano%3	soprano%1:18:00::	man	23:30
6	_	aux	_	_	_	ignore	_
7	(	wf	punc	_	_	ignore	31:32
8	_	mwf	_	_	_	_	_
9	born	wf	VBN	bear%2|born%3	_	un	32:36
10	in	wf	IN	in	_	ignore	37:39
11	1929	wf	CD	1929	_	ignore	40:44
12	_	mwf	_	_	_	_	_
13	)	wf	punc	_	_	ignore	44:45
14	_	aux	_	_	_	_	_

# text = United States poet and cartoonist remembered for his stories and poems for children (1932-1999)
# id = 11300465-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	poet	wf	NN	poet%1	poet%1:18:00::	auto	14:18
5	and	wf	CC	and	_	ignore	19:22
6	cartoonist	wf	NN	cartoonist%1	cartoonist%1:18:00::	auto	23:33
7	remembered	wf	VBN	remember%2	_	un	34:44
8	for	wf	IN	for	_	ignore	45:48
9	his	wf	PRP$	his	_	ignore	49:52
10	stories	wf	NNS	storey%1|story%1	story%1:10:00::	man	53:60
11	and	wf	CC	and	_	ignore	61:64
12	poems	wf	NNS	poem%1	poem%1:10:00::	auto	65:70
13	for	wf	IN	for	_	ignore	71:74
14	children	wf	NNS	child%1	child%1:18:00::	man	75:83
15	_	aux	_	_	_	ignore	_
16	(	wf	punc	_	_	ignore	84:85
17	_	mwf	_	_	_	_	_
18	1932	wf	CD	1932	_	ignore	85:89
19	1999	wf	CD	1999	_	ignore	90:94
20	_	mwf	_	_	_	_	_
21	)	wf	punc	_	_	ignore	94:95
22	_	aux	_	_	_	_	_

# text = United States playwright noted for light comedies (born in 1927)
# id = 11301129-n-1
# type = def
1	_	glob|a	_	United_States%1	_	un	_
2	United	cf|a	NNP	United	_	un	0:6
3	States	cf|a	NNP	State%1	_	un	7:13
4	playwright	wf	NN	playwright%1	playwright%1:18:00::	auto	14:24
5	noted	wf	VBN	note%2|noted%3	note%2:32:00::	man	25:30
6	for	wf	IN	for	_	ignore	31:34
7	light	wf	JJ	light%1|light%2|light%3|light%4	light%5:00:02:frivolous:00	man	35:40
8	comedies	wf	NNS	comedy%1	comedy%1:10:00::	man	41:49
9	_	aux	_	_	_	ignore	_
10	(	wf	punc	_	_	ignore	50:51
11	_	mwf	_	_	_	_	_
12	born	wf	VBN	bear%2|born%3	_	un	51:55
13	in	wf	IN	in	_	ignore	56:58
14	1927	wf	CD	1927	_	ignore	59:63
15	_	mwf	_	_	_	_	_
16	)	wf	punc	_	_	ignore	63:64
17	_	aux	_	_	_	_	_

# text = one of the twelve Apostles (first century)
# id = 11301414-n-1
# type = def
1	one	wf	CD	one	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	twelve	wf	CD	twelve	_	ignore	11:17
5	Apostles	wf	NNP	Apostle%1	apostle%1:18:00::	man	18:26
6	(	wf	punc	_	_	ignore	27:28
7	first	wf	RB	first%1|first%3|first%4	_	un	28:33
8	century	wf	NN	century%1	_	un	34:41
9	)	wf	punc	_	_	ignore	41:42

# text = engineer who was a brother of Ernst Werner von Siemens and who moved to England (1823-1883)
# id = 11299890-n-1
# type = def
1	engineer	wf	NN	engineer%1|engineer%2	engineer%1:18:00::	man	0:8
2	who	wf	WP	who	_	ignore	9:12
3	was	wf	VBD	be%2	_	un	13:16
4	a	wf	DT	a	_	ignore	17:18
5	brother	wf	NN	brother%1	brother%1:18:00::	man	19:26
6	of	wf	IN	of	_	ignore	27:29
7	_	glob|a	_	Ernst_Werner_von_Siemens%1	ernst_werner_von_siemens%1:18:00::	auto	_
8	Ernst	cf|a	NNP	Ernst%1	_	un	30:35
9	Werner	cf|a	NNP	Werner	_	un	36:42
10	von	cf|a	NN	von	_	un	43:46
11	Siemens	cf|a	NNP	Siemens%1	_	un	47:54
12	and	wf	CC	and	_	ignore	55:58
13	who	wf	WP	who	_	ignore	59:62
14	moved	wf	VBN	move%2|moved%3	_	un	63:68
15	to	wf	TO	to	_	ignore	69:71
